Variable	Factor	Age	Name	ShortName	SubCategory	Description
father_allergicrhinitis3cat	Parental	NA	Paternal allergic rhinitis	Paternal allergic rhinitis	Parental allergic rhinitis	Paternal allergic rhinitis reported as none, allergic rihintis or other atopic disease
delivery_mode	Delivery mode	Day 1	Delivery mode	Delivery mode	Delivery mode	Mode of delivery reported as vaginal (VD), VD in water, elective c-section (CS) or emmergency CS
live_urban_rural	Environment	NA	Living location	Living location	Living location	Household location reported as urban or rural
baby_birth_4season	Environment	NA	Birth season	Birth season	Birth season	Birth season
dog_preg	Environment	NA	Dog	Dog	Pet	Dog ownership during pregnancy
cat_preg	Environment	NA	Cat	Cat	Pet	Cat ownership during pregnancy
ald_as_ige_pos_egg_3m	Allergy	3 months	Eggs IgE	Eggs IgE	Food allergy	Detected serum IgE against eggs antigens at 3 months (>= 0.1 kUA/l)
ald_as_ige_pos_peanut_3m	Allergy	3 months	Peanut IgE	Peanut IgE	Food allergy	Detected serum IgE against peanut antigens at 3 months (>= 0.1 kUA/l)
ald_as_ige_pos_milk_3m	Allergy	3 months	Milk IgE	Milk IgE	Food allergy	Detected serum IgE against milk antigens at 3 months (>= 0.1 kUA/l)
ald_as_ige_pos_wheat_3m	Allergy	3 months	Wheat IgE	Wheat IgE	Food allergy	Detected serum IgE against wheat antigens at 3 months (>= 0.1 kUA/l)
food_allergy	Allergy	3 months	Food allergy	Food allergy	Food allergy	Detected serum IgE against eggs, peanut, milk or wheat antigens at 3 months (>= 0.1 kUA/l)
nutr_breastfeed_6m	Breastfeeding	6 months	Breastfeeding at 6 months	Breastfeeding at 6 months	Breastfeeding at 6 months	Any breastfeeding at 6 months
allocation	Skin and dietary intervention	NA	RCT group	RCT group	RCT group	Randomized control trial group allocation
gender_baby_newborn	Sex	NA	Sex	Sex	Sex	Sex (F: female, M. male)
study_geo_locations_basearticle	Environment	NA	Birth location	Birth location	Birth location	Birth location
